id_hh,id_pers,age,empstat,income,incomeHH
1,1,57,3,0,800000
1,2,29,1,800000,800000
1,3,28,3,0,800000
2,1,38,2,654000,1386500
2,2,36,1,732500,1386500
3,1,59,1,150000,971000
3,2,56,1,821000,971000
4,1,61,1,400000,400000
4,2,72,3,0,400000
4,3,36,1,0,400000
5,1,78,1,75000,600000
5,2,66,1,525000,600000
6,1,28,1,945000,982500
6,2,26,3,37500,982500
7,1,28,3,600000,600000
8,1,26,1,2266666.666666667,2266666.666666667
9,1,74,3,600000,600000
9,2,79,3,0,600000
10,1,66,2,366666.6666666666,1216666.666666667
10,2,68,3,850000,1216666.666666667
11,1,35,1,4000000,5300000
11,2,16,1,0,5300000
11,4,72,1,1300000,5300000
12,1,65,1,2235000,2782000
12,2,66,3,547000,2782000
13,1,70,1,660000,660000
13,2,35,3,0,660000
14,1,33,1,1787000,4409000
14,2,29,1,2622000,4409000
15,1,87,3,2400000,3700000
15,2,92,3,1300000,3700000
15,3,50,1,670000,3700000
16,1,50,1,2500000,2500000
16,2,20,3,0,2500000
17,1,89,3,2400000,4800000
17,2,81,3,2400000,4800000
18,1,43,1,1435416.666666667,1435416.666666667
19,1,55,1,324000,324000
20,1,86,3,1144350,1144350
21,1,52,1,0,700000
21,2,39,1,700000,700000
22,1,54,1,700000,700000
22,2,47,3,0,700000
22,3,24,1,0,700000
23,1,35,1,500000,500000
24,1,25,1,500000,1467500
24,2,50,1,0,1467500
24,3,47,3,7500,1467500
24,4,23,1,960000,1467500
25,1,28,1,592000,592000
26,1,27,1,1188350,1588350
26,4,52,1,400000,1588350
27,1,23,2,1500000,2144350
27,2,26,1,644350,2144350
28,1,47,2,1000000,1120000
28,2,43,1,120000,1120000
28,3,21,2,0,1120000
29,1,56,1,650000,650000
29,2,59,1,0,650000
29,3,33,1,0,650000
30,1,72,1,1150000,4241666.666666666
30,2,49,1,3091666.666666667,4241666.666666666
31,1,39,1,2625000,2625000
32,1,36,1,2475000,2475000
32,2,41,3,0,2475000
33,1,63,1,18608333.33333334,18608333.33333334
33,2,61,3,0,18608333.33333334
33,3,26,1,0,18608333.33333334
34,1,62,2,0,2800000
34,2,48,2,2800000,2800000
34,3,19,3,0,2800000
34,4,17,3,0,2800000
35,1,45,1,3104166.666666667,3104166.666666667
35,2,19,2,0,3104166.666666667
36,1,68,1,7400000,7400000
37,1,47,1,2583333.333333333,3783333.333333333
37,3,77,3,1200000,3783333.333333333
38,1,54,1,750000,750000
38,2,49,3,0,750000
38,3,25,3,0,750000
38,4,20,2,0,750000
39,1,61,3,1200000,4921333.333333334
39,2,26,1,3721333.333333334,4921333.333333334
40,1,24,3,2800000,2800000
41,1,64,1,600000,600000
41,2,68,1,0,600000
42,1,32,1,600000,600000
42,2,25,1,0,600000
43,1,19,1,720000,720000
44,1,58,1,3358333.333333333,3358333.333333333
44,2,52,3,0,3358333.333333333
44,3,21,3,0,3358333.333333333
45,1,61,1,1770000,1770000
45,2,56,3,0,1770000
46,1,67,1,1244350,1644350
46,2,60,1,250000,1644350
46,3,21,1,150000,1644350
47,1,66,3,644350,1344350
47,2,39,1,700000,1344350
48,1,33,1,2216666.666666667,2216666.666666667
48,2,33,3,0,2216666.666666667
49,1,67,3,644350,1418350
49,2,30,1,774000,1418350
50,1,33,1,400000,400000
50,2,29,3,0,400000
51,1,35,1,800000,1050000
51,2,30,1,250000,1050000
52,1,73,1,772045.8333333334,1772045.833333334
52,2,49,1,1000000,1772045.833333334
53,1,58,1,5375000,6261500
53,2,37,1,886500,6261500
53,3,20,2,0,6261500
54,1,29,1,1041666.666666667,4041666.666666667
54,2,35,1,3000000,4041666.666666667
55,1,36,1,949666.6666666666,949666.6666666666
55,2,36,3,0,949666.6666666666
56,1,54,1,1543000,2674850
56,2,45,3,0,2674850
56,3,24,1,170000,2674850
56,4,25,1,961850,2674850
57,1,57,1,2675000,2675000
58,1,54,3,644350,1552700
58,2,50,1,264000,1552700
58,3,19,1,644350,1552700
58,4,16,3,0,1552700
59,1,42,1,1023683.333333333,1123683.333333333
59,2,46,1,100000,1123683.333333333
59,3,23,3,0,1123683.333333333
59,4,17,3,0,1123683.333333333
60,1,72,3,644350,644350
60,2,23,3,0,644350
61,1,65,3,644350,1516339.833333334
61,2,64,3,100000,1516339.833333334
61,3,19,1,771989.8333333334,1516339.833333334
62,1,20,1,1096989.833333334,2096989.833333334
62,2,25,1,1000000,2096989.833333334
63,1,35,1,600000,1200000
63,2,27,1,600000,1200000
64,1,36,1,821989.8333333334,1643979.666666667
64,2,36,1,821989.8333333334,1643979.666666667
64,3,16,3,0,1643979.666666667
65,1,62,3,700000,2318979.666666667
65,2,32,1,771989.8333333334,2318979.666666667
65,3,31,1,846989.8333333334,2318979.666666667
65,4,40,3,0,2318979.666666667
66,1,25,1,820879.1666666667,1518925
66,2,24,1,698045.8333333334,1518925
67,1,63,3,16666.66666666667,16666.66666666667
67,2,40,3,0,16666.66666666667
67,3,28,2,0,16666.66666666667
68,1,67,3,75000,719350
68,2,48,1,644350,719350
68,3,16,3,0,719350
69,1,67,1,100000,744350
69,2,69,3,644350,744350
70,1,71,3,644350,644350
70,2,68,3,0,644350
71,1,47,1,150000,150000
71,2,18,3,0,150000
72,1,52,1,1200000,1216666.666666667
72,2,41,3,0,1216666.666666667
72,3,20,1,0,1216666.666666667
72,5,73,3,16666.66666666667,1216666.666666667
73,1,49,1,882333.3333333334,982333.3333333334
73,2,34,1,100000,982333.3333333334
74,1,42,1,1000000,1700000
74,2,57,2,0,1700000
74,3,20,2,700000,1700000
74,4,16,3,0,1700000
75,1,29,1,795183.3333333334,1449533.333333334
75,2,26,1,654350,1449533.333333334
76,1,58,1,350000,1879045.833333334
76,2,35,1,794045.8333333334,1879045.833333334
76,3,18,3,660000,1879045.833333334
76,5,85,3,75000,1879045.833333334
77,1,55,1,800000,800000
78,1,54,1,1157333.333333333,1169333.333333333
78,2,30,2,12000,1169333.333333333
79,1,48,1,874045.8333333334,874045.8333333334
79,2,18,3,0,874045.8333333334
80,1,71,3,300000,300000
81,1,72,1,772045.8333333334,772045.8333333334
82,1,24,1,694350,694350
83,1,71,3,300000,300000
84,1,58,3,0,2340666.666666667
84,2,23,1,1518333.333333333,2340666.666666667
84,3,23,1,822333.3333333334,2340666.666666667
85,1,34,1,700000,700000
85,2,20,3,0,700000
86,1,49,1,600000,1390000
86,2,50,1,790000,1390000
86,3,29,3,0,1390000
86,4,16,3,0,1390000
87,1,28,1,613333.3333333334,613333.3333333334
88,1,60,2,1000000,1000000
88,2,58,3,0,1000000
89,1,43,1,1221000,2015045.833333334
89,2,41,1,794045.8333333334,2015045.833333334
89,3,21,1,0,2015045.833333334
89,4,17,3,0,2015045.833333334
90,1,79,1,694350,1616395.833333334
90,2,58,1,772045.8333333334,1616395.833333334
90,3,21,1,0,1616395.833333334
90,4,78,1,150000,1616395.833333334
91,1,27,2,328333.3333333334,328333.3333333334
92,1,43,1,1266666.666666667,2859833.333333334
92,2,34,1,1593166.666666667,2859833.333333334
93,1,37,2,500000,500000
93,2,37,3,0,500000
93,3,17,3,0,500000
94,1,70,3,644350,644350
94,2,48,3,0,644350
94,3,20,3,0,644350
95,1,23,1,772045.8333333334,1544091.666666667
95,2,23,1,772045.8333333334,1544091.666666667
96,1,60,1,400000,425000
96,2,60,2,25000,425000
97,1,56,2,0,704350
97,2,26,1,0,704350
97,3,48,1,704350,704350
98,1,41,1,1291666.666666667,2091666.666666667
98,2,25,1,800000,2091666.666666667
99,1,47,3,100000,925712.5000000001
99,2,34,1,825712.5000000001,925712.5000000001
100,1,56,1,968045.8333333334,2867045.833333334
100,2,57,3,0,2867045.833333334
100,3,24,1,1099000,2867045.833333334
100,4,30,3,800000,2867045.833333334
101,1,43,1,900000,2486666.666666667
101,2,48,1,838333.3333333334,2486666.666666667
101,3,18,1,748333.3333333334,2486666.666666667
102,1,27,2,0,0
103,1,25,1,740666.6666666666,740666.6666666666
104,1,37,1,3200000,7761666.666666667
104,2,32,1,4461666.666666667,7761666.666666667
105,1,77,3,0,300000
105,2,50,1,300000,300000
105,3,28,2,0,300000
105,4,22,2,0,300000
106,1,51,1,1069000,1069000
106,2,50,3,0,1069000
107,1,50,3,600000,600000
107,2,55,3,0,600000
108,1,52,1,800000,800000
108,2,32,2,0,800000
109,1,37,1,800000,870000
109,2,31,1,70000,870000
110,1,50,1,637833.3333333333,637833.3333333333
111,1,26,1,480000,480000
112,1,37,1,1400000,2050000
112,2,36,1,650000,2050000
112,3,18,2,0,2050000
113,1,40,1,300000,700000
113,2,16,3,400000,700000
114,1,41,1,1262666.666666667,1262666.666666667
115,1,57,1,1815000,6665000
115,2,56,3,4850000,6665000
116,1,74,3,14000000,14250000
116,2,60,3,250000,14250000
116,3,27,3,0,14250000
117,1,56,1,5816666.666666667,5816666.666666667
118,1,82,3,567028,2567028
118,2,73,3,2000000,2567028
118,3,93,3,0,2567028
119,1,53,2,0,150000
119,2,50,2,0,150000
119,3,22,3,0,150000
119,4,18,3,150000,150000
119,5,16,3,0,150000
120,1,30,1,5000000,9866666.666666666
120,2,29,1,4866666.666666666,9866666.666666666
121,1,49,1,2006666.666666667,2206666.666666667
121,2,48,2,0,2206666.666666667
121,3,23,1,200000,2206666.666666667
121,4,22,3,0,2206666.666666667
121,5,18,3,0,2206666.666666667
122,1,53,1,550000,550000
123,1,44,1,650000,650000
124,1,49,1,751666.6666666667,751666.6666666667
124,2,29,3,0,751666.6666666667
125,1,42,1,644350,644350
125,2,72,3,0,644350
126,1,55,3,0,800000
126,2,85,3,800000,800000
127,1,55,1,130000,130000
127,2,36,2,0,130000
128,1,27,3,70000,470000
128,2,34,1,400000,470000
129,1,42,1,700000,1592333.333333333
129,2,36,1,892333.3333333333,1592333.333333333
130,1,84,3,644350,644350
130,2,62,2,0,644350
131,1,52,1,600000,1400000
131,2,50,1,800000,1400000
132,1,36,1,827333.3333333333,927333.3333333333
132,2,19,3,100000,927333.3333333333
133,1,43,1,850000,950000
133,2,21,3,0,950000
133,3,18,3,0,950000
133,4,67,3,0,950000
133,5,60,3,100000,950000
134,1,83,3,644350,944350
134,2,59,1,300000,944350
135,1,51,1,800000,1518350
135,2,48,3,0,1518350
135,3,24,1,718350,1518350
136,1,31,1,856862.5,856862.5
136,2,28,3,0,856862.5
137,1,29,1,1086500,2173000
137,2,23,1,1086500,2173000
138,1,27,1,801212.5,1700341.666666667
138,2,27,1,899129.1666666667,1700341.666666667
139,1,30,1,1718350,1718350
140,1,54,1,200000,200000
140,2,49,3,0,200000
141,1,70,3,2600000,2600000
141,2,35,3,0,2600000
142,1,59,3,600000,720000
142,2,52,2,120000,720000
143,1,42,1,200000,200000
144,1,79,3,1080000,6284166.666666666
144,2,73,3,0,6284166.666666666
144,3,45,3,0,6284166.666666666
144,4,44,1,5204166.666666666,6284166.666666666
145,1,48,1,160000,960000
145,2,21,1,800000,960000
146,1,46,1,698016.6666666667,748016.6666666667
146,2,52,1,50000,748016.6666666667
147,1,79,3,7700000,17700000
147,2,56,1,10000000,17700000
148,1,87,3,1450000,1450000
149,1,55,1,832045.8333333333,832045.8333333333
150,1,68,3,900000,4450000
150,2,68,3,0,4450000
150,3,45,1,3550000,4450000
151,1,52,1,3050000,3933333.333333334
151,2,43,1,500000,3933333.333333334
151,3,20,3,383333.3333333333,3933333.333333334
152,1,53,1,2166666.666666667,2916666.666666667
152,2,19,2,750000,2916666.666666667
153,1,87,3,0,5899999.999999999
153,2,73,3,0,5899999.999999999
153,3,52,1,5899999.999999999,5899999.999999999
154,1,61,3,2500000,4900000
154,2,47,1,2100000,4900000
154,4,66,3,300000,4900000
155,1,64,1,6046333.333333334,6046333.333333334
156,1,44,1,3250000,3250000
156,2,18,3,0,3250000
156,3,18,3,0,3250000
157,1,68,3,600000,600000
158,1,37,1,3800000,3800000
159,1,57,1,900000,900000
159,2,59,3,0,900000
160,1,55,1,797350,1597350
160,2,46,1,800000,1597350
161,1,47,1,941666.6666666666,1061666.666666667
161,2,52,1,120000,1061666.666666667
161,3,20,2,0,1061666.666666667
161,4,18,2,0,1061666.666666667
162,1,73,3,683333.3333333334,683333.3333333334
163,1,76,3,583333.3333333334,583333.3333333334
164,1,32,1,1983333.333333333,1983333.333333333
164,2,34,1,0,1983333.333333333
164,3,16,3,0,1983333.333333333
165,1,28,1,2778033.333333334,2778033.333333334
166,1,61,1,2460000,3460000
166,2,56,1,1000000,3460000
167,1,52,1,100000,200000
167,2,19,1,100000,200000
167,3,16,1,0,200000
168,1,30,1,300000,1279333.333333334
168,2,38,1,904333.3333333334,1279333.333333334
168,3,18,3,0,1279333.333333334
168,5,74,3,75000,1279333.333333334
169,1,71,3,175000,250000
169,2,93,3,75000,250000
170,1,45,1,600000,1100000
170,2,45,2,500000,1100000
170,3,19,3,0,1100000
171,1,47,1,400000,1975666.666666667
171,2,46,3,0,1975666.666666667
171,3,20,1,1025666.666666667,1975666.666666667
171,4,27,1,550000,1975666.666666667
172,1,54,3,0,0
173,1,54,1,900000,2473000
173,2,30,1,1323000,2473000
173,3,23,2,250000,2473000
174,1,30,3,0,7000000
174,2,33,2,7000000,7000000
175,1,60,1,8833333.333333334,11750000
175,2,58,1,2916666.666666667,11750000
176,1,32,1,50000,839000
176,2,34,1,789000,839000
177,1,52,1,800000,1883350
177,2,25,1,120000,1883350
177,3,20,1,946683.3333333334,1883350
177,5,17,3,16666.66666666667,1883350
178,1,61,1,644350,644350
179,1,36,1,1127683.333333333,1927683.333333333
179,2,37,2,800000,1927683.333333333
179,3,18,3,0,1927683.333333333
180,1,31,1,1045016.666666667,1045016.666666667
180,2,32,2,0,1045016.666666667
181,1,42,1,3033333.333333334,3033333.333333334
181,2,16,2,0,3033333.333333334
182,1,52,3,1820000,2332000
182,2,48,3,0,2332000
182,3,21,2,512000,2332000
183,1,58,1,400000,1383333.333333334
183,2,21,2,983333.3333333334,1383333.333333334
184,1,25,3,500000,500000
185,1,48,1,1646666.666666667,3322906.666666667
185,2,42,1,1659573.333333333,3322906.666666667
186,1,63,1,3329166.666666667,3329166.666666667
