"","id_pers","year","age","age2","female","lgg_educ","lgg_partner","lgg_children","lgg_ocstat_Unskilled_manual","lgg_ocstat_Skilled_manual","lgg_ocstat_Lower_service","lgg_ocstat_Routine_non_manual","lgg_ocstat_Salariat","lgg_ocstat_Unemployed","lgg_wexp_lg","lgg_duasset","lgg_mnet_intra","lgg_mnet_usa","lgg_mnet_spain","lgg_mnet_international_commun","commun_1","commun_2","commun_3","commun_4","commun_5","commun_6","commun_7","commun_8","commun_9","commun_10","commun_11","commun_12","commun_13","commun_14","event_international","event_intra","event_spain","event_usa","abyr1","surveyyr","weight"
"1","9_2008_1_2_1_1",1991,18,324,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,6.6079295154185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"2","9_2008_1_2_1_1",1992,19,361,0,13,0,0,0,0,0,1,0,0,0.693147180559945,0,0,0,0,7.04845814977974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"3","9_2008_1_2_1_1",1993,20,400,0,14,0,0,0,0,0,1,0,0,1.09861228866811,0,0,0,0,7.04845814977974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"4","9_2008_1_2_1_1",1994,21,441,0,15,0,0,0,0,0,1,0,0,1.38629436111989,0,0,0,0,8.81057268722467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"5","9_2008_1_2_1_1",1995,22,484,0,16,0,0,0,0,0,1,0,0,1.6094379124341,0,0,0,0,8.81057268722467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"6","9_2008_1_2_1_1",1996,23,529,0,16,0,0,0,0,0,1,0,0,1.79175946922805,0,0,0,0,10.1321585903084,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"7","9_2008_1_2_1_1",1997,24,576,0,16,0,0,0,0,0,0,0,1,1.79175946922805,0,0,0,0,10.5726872246696,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"8","9_2008_1_2_1_1",1998,25,625,0,16,0,0,0,0,0,0,0,1,1.79175946922805,0,0,0,0,11.0132158590308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"9","9_2008_1_2_1_1",1999,26,676,0,16,0,0,0,0,0,0,1,0,1.94591014905531,0,0,0,0,13.215859030837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"10","9_2008_1_2_1_1",2000,27,729,0,16,0,0,0,0,0,0,1,0,2.07944154167984,0,0,0,0,16.2995594713656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"11","9_2008_1_2_1_1",2001,28,784,0,16,0,0,0,0,0,1,0,0,2.19722457733622,0,0,0,0,21.1453744493392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"12","9_2008_1_2_1_1",2002,29,841,0,16,0,0,0,0,0,1,0,0,2.30258509299405,0,0,0,0,26.8722466960352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"13","9_2008_1_2_1_1",2003,30,900,0,16,0,0,0,0,0,1,0,0,2.39789527279837,0,0,0,0,28.1938325991189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"14","9_2008_1_2_1_1",2004,31,961,0,16,0,0,0,0,0,1,0,0,2.484906649788,0,0,0,0,29.0748898678414,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"15","9_2008_1_2_1_1",2005,32,1024,0,16,0,1,0,0,0,1,0,0,2.56494935746154,0,0,0,0,29.5154185022026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"16","9_2008_1_2_1_1",2006,33,1089,0,16,1,1,0,0,0,1,0,0,2.63905732961526,0,0,0,0,29.9559471365639,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"17","9_2008_1_2_1_1",2007,34,1156,0,16,1,1,0,0,0,1,0,0,2.70805020110221,0,0,0,0,30.3964757709251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"18","9_2008_1_2_1_1",2008,35,1225,0,16,1,1,0,0,0,1,0,0,2.77258872223978,0,0,0,0,32.15859030837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2008,4.065
"19","9_2008_1_2_1_1",2009,36,1296,0,16,1,1,0,0,0,1,0,0,2.83321334405622,0,0,0,0,32.15859030837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4.065
"20","9_2008_1_2_1_1",2010,37,1369,0,16,1,1,0,0,0,1,0,0,2.89037175789616,0,0,0,0,32.15859030837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4.065
"21","9_2008_1_2_1_1",2011,38,1444,0,16,1,1,0,0,0,1,0,0,2.94443897916644,0,0,0,0,32.15859030837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4.065
"22","9_2008_1_2_1_1",2012,39,1521,0,16,1,1,0,0,0,1,0,0,2.99573227355399,0,0,0,0,32.15859030837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4.065
"23","9_2008_1_2_1_1",2013,40,1600,0,16,1,1,0,0,0,1,0,0,3.04452243772342,0,0,0,0,32.15859030837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4.065
"24","9_2008_1_2_1_1",2014,41,1681,0,16,1,1,0,0,0,1,0,0,3.09104245335832,0,0,0,0,32.15859030837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4.065
